Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,r5
787,2022:03:07,월,9:58:10 AM,version=0.1,Test,0,3,10,4,0.00137743,178.0611,0.008481434,178.0611,0.00609286,178.0611,0.09017049,3.142113,,
20192014,2022:03:07,월,10:35:41 AM,version=0.1,Test,,Start,,,,,,,,,,,,
20192014,2022:03:07,월,10:44:52 AM,version=0.1,Test,0,3,10,5,0.01305093,178.1677,0.01501763,178.1677,0.01150374,178.1677,0.07782377,2.00545,0.07977346,2.00545
20192014,2022:03:07,월,10:45:31 AM,version=0.1,Test,0,3,10,5,0.008118903,178.3906,0.007824096,178.3906,0.008525043,178.3906,0.06974422,1.288008,0.08081364,1.288008
20192014,2022:03:07,월,10:46:07 AM,version=0.1,Test,0,3,10,5,0.01213066,178.782,0.0115512,178.782,0.01283998,178.782,0.06925923,2.608345,0.08758876,2.608345
20202023,2022:03:07,월,11:26:32 AM,version=0.1,Test,,Start,,,,,,,,,,,,
20202023,2022:03:07,월,11:43:16 AM,version=0.1,Test,0,3,10,5,0.005045068,178.0937,0.005107704,178.0937,0.00520385,178.0937,0.06881646,1.572839,0.08124121,1.572839
20202023,2022:03:07,월,11:45:03 AM,version=0.1,Test,0,3,10,5,0.001841576,178.2603,0.002928664,178.2603,0.000903771,178.2603,0.07566635,0.5764125,0.07664061,0.5764125
20202023,2022:03:07,월,11:46:29 AM,version=0.1,Test,0,3,10,5,0.002726593,179.4695,0.002677227,179.4695,0.002857481,179.4695,0.06822735,1.168016,0.08141458,1.168016
20182032,2022:03:07,월,12:45:42 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20182032,2022:03:07,월,12:59:53 PM,version=0.1,Test,0,3,10,5,0.003815895,178.2403,0.005348262,178.2403,0.002803577,178.2403,0.05890675,3.250886,0.09176522,3.250886
20182032,2022:03:07,월,1:01:41 PM,version=0.1,Test,0,3,10,5,0.005487476,176.8414,0.005233923,176.8414,0.006644078,176.8414,0.0493171,4.566002,0.09965451,4.566002
20182032,2022:03:07,월,1:03:20 PM,version=0.1,Test,0,3,10,4,0.006447084,175.3245,0.004054904,175.3245,0.009990737,175.3245,0.06088223,5.908864,,
20202033,2022:03:07,월,1:42:24 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20202033,2022:03:07,월,1:54:24 PM,version=0.1,Test,0,3,10,5,0.001683212,178.2434,0.002061045,178.2434,0.001417608,178.2434,0.07328948,0.5781073,0.07487904,0.5781073
20202033,2022:03:07,월,1:56:12 PM,version=0.1,Test,0,3,10,5,0.002135742,177.5276,0.002222982,177.5276,0.00204962,177.5276,0.07845056,0.9825793,0.06988674,0.9825793
20202033,2022:03:07,월,1:57:06 PM,version=0.1,Test,0,3,10,5,0.002950625,178.2362,0.003216778,178.2362,0.002763855,178.2362,0.05653645,3.240632,0.09035747,3.240632
20202016,2022:03:07,월,3:54:45 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20202016,2022:03:07,월,4:06:40 PM,version=0.1,Test,0,3,10,5,0.003237449,178.189,0.00334551,178.189,0.003187994,178.189,0.07730851,0.5410409,0.07198177,0.5410409
20202016,2022:03:07,월,4:09:07 PM,version=0.1,Test,0,3,10,5,0.00692202,178.6613,0.005223834,178.6613,0.008784774,178.6613,0.07636066,1.519684,0.07814842,1.519684
20202016,2022:03:07,월,4:10:11 PM,version=0.1,Test,0,3,10,5,0.003741989,177.6949,0.003974831,177.6949,0.004052165,177.6949,0.08138841,1.577808,0.07115864,1.577808
20192014,2022:03:08,화,11:20:56 AM,version=0.1,Test,,Start,,,,,,,,,,,,
20192014,2022:03:08,화,11:28:03 AM,version=0.1,Test,0,3,10,5,0.006563016,179.1894,0.006854144,179.1894,0.006291192,179.1894,0.06216734,2.291918,0.08322541,2.291918
20192014,2022:03:08,화,11:29:03 AM,version=0.1,Test,0,3,10,5,0.007099032,178.96,0.007371099,178.96,0.006871257,178.96,0.0644546,2.538753,0.08993913,2.538753
20192014,2022:03:08,화,11:30:14 AM,version=0.1,Test,0,3,10,5,0.007686359,177.0872,0.007352277,177.0872,0.008342836,177.0872,0.06448822,4.234986,0.09080647,4.234986
20202033,2022:03:08,화,12:48:38 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20202033,2022:03:08,화,12:56:59 PM,version=0.1,Test,0,3,10,5,0.002068711,178.2132,0.002817626,178.2132,0.001853744,178.2132,0.06103162,2.481991,0.08822563,2.481991
20202033,2022:03:08,화,12:58:01 PM,version=0.1,Test,0,3,10,5,0.002773169,178.0982,0.003365365,178.0982,0.002313149,178.0982,0.05641463,3.23767,0.09253525,3.23767
20202033,2022:03:08,화,12:59:05 PM,version=0.1,Test,0,3,10,5,0.00396849,179.8176,0.001875864,179.8176,0.006449565,179.8176,0.07095573,1.559971,0.08680674,1.559971
20182032,2022:03:08,화,1:55:58 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20182032,2022:03:08,화,2:06:35 PM,version=0.1,Test,0,3,10,5,0.003392048,178.923,0.002751089,178.923,0.004098885,178.923,0.0623599,2.532887,0.0897235,2.532887
20182032,2022:03:08,화,2:07:52 PM,version=0.1,Test,0,3,10,5,0.00965646,177.7667,0.009557334,177.7667,0.009795181,177.7667,0.05598881,3.659393,0.09615107,3.659393
20182032,2022:03:08,화,2:08:51 PM,version=0.1,Test,0,3,10,5,0.005589283,177.4681,0.003747849,177.4681,0.007594377,177.4681,0.05654595,4.026134,0.09920141,4.026134
20202016,2022:03:08,화,2:34:02 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20202016,2022:03:08,화,2:41:43 PM,version=0.1,Test,0,3,10,5,0.003912361,179.5412,0.003753642,179.5412,0.004524287,179.5412,0.07267994,1.398018,0.08226234,1.398018
20202016,2022:03:08,화,2:42:42 PM,version=0.1,Test,0,3,10,5,0.009716108,178.5903,0.01000595,178.5903,0.009511712,178.5903,0.0641672,2.640639,0.08140849,2.640639
